id,medium,publicaties,seed_url,scope_domain,categorie,provincie,regio,stad,mediumthema,contact_trefwoorden,prioriteit,catalogusbron
nnp_media_totaal_noord,Media Totaal Noord,Media Totaal Noord,http://www.media-totaal.nl,media-totaal.nl,lokale krant of uitgever,Drenthe,Noordenveld,Roden,algemeen nieuws,,normaal,https://www.nnp.nl/leden
nnp_demooikrant_bv,DeMooiKrant BV,DeMooiKrant BV,http://www.mooirooi.nl,mooirooi.nl,lokale krant of uitgever,Noord-Brabant,Meierij,Sint-Oedenrode,algemeen nieuws,,normaal,https://www.nnp.nl/leden
peel_en_maas,Peel en Maas,Peel en Maas,http://www.peelenmaasvenray.nl,peelenmaasvenray.nl,lokale krant of uitgever,Limburg,Noord-Limburg,Venray,algemeen nieuws,,hoog,https://www.nnp.nl/leden
nnp_drukkerij_uitgeverij_nivo,Drukkerij Uitgeverij Nivo,Drukkerij Uitgeverij Nivo,http://www.nieuw-volendam.nl/,nieuw-volendam.nl,lokale krant of uitgever,Noord-Holland,Waterland,Volendam,algemeen nieuws,,normaal,https://www.nnp.nl/leden
nnp_regiobode,Regiobode,Regiobode,http://www.regiobode.nl/,regiobode.nl,lokale krant of uitgever,Gelderland,Veluwezoom,Dieren,algemeen nieuws,,normaal,https://www.nnp.nl/leden
nnp_regio_media_groep,Regio Media Groep,Regio Media Groep,http://www.regiomediagroep.nl,regiomediagroep.nl,lokale krant of uitgever,Noord-Holland,Amstelland,Aalsmeer,algemeen nieuws,,normaal,https://www.nnp.nl/leden
nnp_rodi_media,Rodi Media,Rodi Media,http://www.rodimedia.nl,rodimedia.nl,lokale krant of uitgever,Noord-Holland,Noord-Kennemerland,Broek op Langedijk,algemeen nieuws,,normaal,https://www.nnp.nl/leden
nnp_rodi_media_zh,Rodi Media ZH,Rodi Media ZH,http://www.delftopzondag.nl,delftopzondag.nl,lokale krant of uitgever,Zuid-Holland,Haaglanden,Delft,algemeen nieuws,,normaal,https://www.nnp.nl/leden
nnp_rodi_west_media,Rodi West Media,Rodi West Media,http://www.rodiwestmedia.nl,rodiwestmedia.nl,lokale krant of uitgever,Zuid-Holland,Westland,Maasdijk,algemeen nieuws,,normaal,https://www.nnp.nl/leden
nnp_uitgeverij_starters_pers,Uitgeverij Starters Pers,Uitgeverij Starters Pers,http://www.gemeentenieuwsonline.nl,gemeentenieuwsonline.nl,lokale krant of uitgever,Gelderland,Lingewaard,Bemmel,algemeen nieuws,,normaal,https://www.nnp.nl/leden
